Quarter_Year,Deposit_Amount,Log_Deposit,YoY_Growth,Q1,Q2,Q3,Q4,Rolling_12M_Avg,Estimated
2015Q1,360973,12.796558442274172,,1,0,0,0,,0
2015Q2,346601,12.755929541429706,,0,1,0,0,,0
2015Q3,368435,12.817019584279441,,0,0,1,0,,0
2015Q4,395076,12.88683343043907,,0,0,0,1,367771.25,0
2016Q1,389649,12.873001612862666,7.944084460610634,1,0,0,0,374940.25,0
2016Q2,378665,12.844407188176987,9.250983118917722,0,1,0,0,382956.25,0
2016Q3,409395,12.92243573914012,11.11729341674923,0,0,1,0,393196.25,0
2016Q4,423554,12.956436293800465,7.208233352570148,0,0,0,1,400315.75,0
2017Q1,422290,12.953447560793213,8.37702650334018,1,0,0,0,408476.0,0
2017Q2,417709,12.942540296817663,10.310960875708087,0,1,0,0,418237.0,0
2017Q3,426561,12.963510660305817,4.193016524383553,0,0,1,0,422528.5,0
2017Q4,448212,13.013021613752267,5.821689796342389,0,0,0,1,428693.0,0
2018Q1,462504,13.044410484545866,9.522839754670965,1,0,0,0,438746.5,0
2018Q2,430893,12.973615078403515,3.156264289253996,0,1,0,0,442042.5,0
2018Q3,449977,13.016951749329174,5.489484505146969,0,0,1,0,447896.5,0
2018Q4,481963,13.085622626600793,7.5301419863814445,0,0,0,1,456334.25,0
2019Q1,486989,13.095996814540637,5.29400826803661,1,0,0,0,462455.5,0
2019Q2,481544,13.084752887146045,11.754890425233189,0,1,0,0,475118.25,0
2019Q3,490020,13.102201485580377,8.898899277074168,0,0,1,0,485129.0,0
2019Q4,509686,13.141550128813373,5.752101302382129,0,0,0,1,492059.75,0
2020Q1,541340,13.201802826230754,11.160621697820684,1,0,0,0,505647.5,0
2020Q2,510055,13.14227384202311,5.920746598441684,0,1,0,0,512775.25,0
2020Q3,531332,13.18314234025075,8.430676298926576,0,0,1,0,523103.25,0
2020Q4,544109,13.206904873414222,6.753766044191911,0,0,0,1,531709.0,0
2021Q1,559783,13.235304487613806,3.406916170983121,1,0,0,0,536319.75,0
2021Q2,545579,13.20960289503457,6.964739096764072,0,1,0,0,545200.75,0
2021Q3,555092,13.226889144756711,4.471780355785082,0,0,1,0,551140.75,0
2021Q4,593036,13.29301038440026,8.99213209118026,0,0,0,1,563372.5,0
2022Q1,593856,13.294392144712852,6.0868229295995,1,0,0,0,571890.75,0
2022Q2,575189,13.26245396142308,5.427261679793394,0,1,0,0,579293.25,0
2022Q3,592994,13.29293955988483,6.8280573310370185,0,0,1,0,588768.75,0
2022Q4,639372,13.368241723594908,7.813353658125299,0,0,0,1,600352.75,0
2023Q1,633076,13.358345757110458,6.604294643819375,1,0,0,0,610157.75,0
2023Q2,601892,13.30783330620314,4.64247403896807,0,1,0,0,616833.5,0
2023Q3,637895,13.365928971980171,7.571914724263662,0,0,1,0,628058.75,0
2023Q4,649310,13.383665539579274,1.5543376938621067,0,0,0,1,630543.25,0
2024Q1,669378,13.414104201966824,5.73422464285489,1,0,0,0,639618.75,0
2024Q2,627507,13.349510105304342,4.255746878177491,0,1,0,0,646022.5,0
2024Q3,654197,13.391163808322315,2.555593005118406,0,0,1,0,650098.0,0
2024Q4,695174,13.451917452924397,7.0634981749857495,0,0,0,1,661564.0,0
