Quarter_Year,RBI_Repo_Rate,CPI_Inflation,GDP_Growth_Rate,Nifty_Bank_Index,Credit_Deposit_Ratio,CASA_Ratio_Industry
2015Q1,7.5,5.17,7.5,17200,76.2,41.2
2015Q2,7.25,5.01,7.0,17800,75.9,41.0
2015Q3,6.75,3.66,7.6,16600,75.4,40.8
2015Q4,6.75,5.61,7.3,15900,75.1,40.5
2016Q1,6.75,4.83,7.9,15200,74.8,40.3
2016Q2,6.5,5.76,7.1,17100,74.5,41.1
2016Q3,6.5,5.05,7.4,19200,74.2,41.8
2016Q4,6.25,3.41,7.0,18600,73.9,43.5
2017Q1,6.25,3.89,6.1,21800,73.5,43.2
2017Q2,6.25,2.18,5.7,23100,73.1,42.8
2017Q3,6.0,3.28,6.3,24500,72.8,42.5
2017Q4,6.0,5.21,7.2,25900,72.4,42.1
2018Q1,6.0,4.28,8.1,26800,72.9,41.8
2018Q2,6.25,4.92,8.2,27400,73.3,41.5
2018Q3,6.5,3.77,7.1,25200,73.8,41.2
2018Q4,6.5,2.19,6.6,24600,74.2,41.0
2019Q1,6.25,2.86,5.8,28900,73.7,40.8
2019Q2,5.75,3.18,5.0,30200,73.2,40.5
2019Q3,5.4,3.99,4.4,29800,72.7,40.3
2019Q4,5.15,7.35,4.1,30900,72.1,40.0
2020Q1,5.15,6.58,3.1,26300,71.5,41.5
2020Q2,4.0,6.09,-23.9,20500,70.8,44.2
2020Q3,4.0,7.27,-7.4,25700,70.2,45.8
2020Q4,4.0,4.59,0.5,29500,69.6,46.3
2021Q1,4.0,5.52,1.6,33200,69.1,46.0
2021Q2,4.0,5.59,20.1,34800,68.7,45.5
2021Q3,4.0,4.35,8.4,36100,68.3,44.9
2021Q4,4.0,5.26,5.4,37500,68.0,44.4
2022Q1,4.0,6.07,4.1,36800,68.9,43.8
2022Q2,4.9,7.04,13.5,35200,70.1,43.2
2022Q3,5.9,7.41,6.3,38500,71.4,42.6
2022Q4,6.25,5.72,4.4,41200,72.6,42.1
2023Q1,6.5,5.66,6.1,40800,73.8,41.5
2023Q2,6.5,4.81,8.2,43200,74.5,41.0
2023Q3,6.5,4.86,7.8,44800,75.1,40.6
2023Q4,6.5,5.69,8.4,46200,75.7,40.2
2024Q1,6.5,4.85,7.8,47100,76.0,40.0
2024Q2,6.5,4.83,6.7,46500,76.3,40.3
2024Q3,6.5,3.65,6.5,52300,76.5,40.5
2024Q4,6.5,5.48,6.4,51200,76.8,40.8
